"experimentname","subject","condition","session","phase","runningtrial","trial","statement","set","status","repeated_phase2","repeated_phase3","irating","irating.rt","trating","trating.rt","filter"
"TE_Experiment1",1,1,1,1,"JudgmentsP1",25,"Frauen blinzeln fast doppelt so viel wie Männer.","SetA","True","Yes","No",5,1292,6,910,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",26,"Die Stilrichtung des Impressionismus entwickelte sich in Spanien. ","SetA","False","Yes","No",3,760,3,4250,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",27,"Alexander Graham Bell erfand das Tragflügelboot.","SetB","True","No","Yes",2,892,4,1243,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",28,"In Bolivien liegt der höchstgelegene Regierungssitz der Welt.","SetA","True","Yes","No",3,3197,4,1418,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",29,"Der Allradantrieb wurde 1938 in England erfunden.","SetB","False","No","Yes",2,691,3,1403,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",30,"Die Schwarzerle zählt zu den Buchengewächsen.","SetA","False","Yes","No",2,972,3,2570,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",31,"Der Bereich zwischen den Augenbrauen heißt Glabella.","SetA","True","Yes","No",3,2309,2,1410,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",32,"Der Prophet Mohammed arbeitete vor seiner religiösen Berufung als Arzt. ","SetA","False","Yes","No",4,830,3,2300,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",33,"Kaiser Konstantin IV wurde auf Befehl seiner eigenen Mutter ermordet.","SetB","True","No","Yes",4,893,4,1471,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",34,"Freddie Mercurys richtiger Name lautete Farrokh Bulsara.","SetA","True","Yes","No",3,980,4,1003,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",35,"Den Haag ist der offizielle Verwaltungssitz der Niederlande. ","SetB","True","No","Yes",3,1583,6,1225,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",36,"Kanada hat die längste Küste von allen Staaten der Erde.","SetA","True","Yes","No",4,1901,4,1343,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",37,"Laut EU-Vorschrift darf ein iPod die Lautstärke von 80 Dezibel nicht  überschreiten. ","SetB","False","No","Yes",4,615,4,1185,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",38,"Ein Dingo kann länger ohne Wasser leben als ein Kamel.","SetA","False","Yes","No",4,1364,3,4398,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",39,"Bolivien ist der kleinste Binnenstaat Südamerikas. ","SetA","False","Yes","No",3,1568,4,686,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",40,"Ein neugeborenes Panda-Baby ist kleiner als eine Maus.","SetA","True","Yes","No",4,2070,5,1330,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",41,"Die Hälfte der Bürger Albaniens ist jünger als 30 Jahre.","SetB","False","No","Yes",5,681,4,1132,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",42,"Tiger haben nicht nur gestreiftes Fell, sondern auch gestreifte Haut.","SetB","True","No","Yes",4,1619,5,2204,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",43,"Das Jojo war ursprünglich eine philippinische Jagdwaffe.","SetA","True","Yes","No",4,1309,4,2504,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",44,"Die italienische Flagge wurde von Giuseppe Garibaldi entworfen.","SetB","False","No","Yes",4,1541,3,2518,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",45,"Die Norfolkinseln im Pazifik gehören zu Neuseeland. ","SetA","False","Yes","No",3,1056,5,5963,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",46,"Ibo ist wie Esperanto eine künstliche Welthilfssprache.","SetA","False","Yes","No",5,568,4,1221,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",47,"Das meiste Gold wird derzeit in Südafrika gefördert.","SetA","True","Yes","No",5,689,3,5150,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",48,"März und April sind die heißesten Monate auf den Malediven.","SetA","True","Yes","No",4,1701,3,1271,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",49,"Die Schweden führten als erste Kartons anstelle von Milchflaschen ein.","SetB","True","No","Yes",4,670,3,3394,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",50,"Unter den Bären legt der Braunbär die größten Entfernungen zurück.","SetA","False","Yes","No",4,1639,2,2079,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",51,"Laut WHO sind Krebserkrankungen die häufigste Todesursache.  ","SetA","False","Yes","No",5,1763,5,841,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",52,"Richard Gere und Cindy Crawford ließen sich in Mexiko trauen.","SetB","False","No","Yes",1,1921,3,2909,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",53,"Der Kilt stammt ursprünglich aus Irland, nicht aus Schottland.","SetA","False","Yes","No",4,2208,4,851,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",54,"Der Pavane ist ein spanisch-italienischer Volkstanz aus dem 16. Jahrhundert.","SetA","True","Yes","No",2,5951,3,2506,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",55,"Die in Südamerika beheimatete Kammspinne zählt zu den drei giftigsten Spinnenarten der Welt.","SetB","True","No","Yes",4,1029,5,2811,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",56,"Die Azoren gehören zu Spanien.","SetA","False","Yes","No",4,715,4,949,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",57,"Tuberkulose wird durch Viren übertragen.","SetB","False","No","Yes",5,655,3,7519,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",58,"Ein Menschenfloh kann 20cm hoch springen.","SetB","True","No","Yes",5,702,4,885,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",59,"Der erste Bordcomputer für Autos wurde in Amerika entwickelt. ","SetA","False","Yes","No",3,911,3,1559,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",60,"Kendo ist eine aus Japan stammende waffenlose Kampfsportart.","SetB","False","No","Yes",4,989,6,1143,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",61,"Die Farbe von Hühnereiern kann man anhand der Farbe der Ohrenscheiben des Huhns voraussagen.","SetB","True","No","Yes",4,1009,2,2501,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",62,"Volleyball wurde in Florida erfunden.","SetB","False","No","Yes",2,1006,4,5875,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",63,"Die Luftröhre eines Menschen ist durchschnittlich 24 cm lang. ","SetB","False","No","Yes",5,677,5,768,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",64,"Markus Merk wurde Weltschiedsrichter des Jahres 2006.","SetB","False","No","Yes",2,1792,4,2088,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",65,"Morpheus ist der griechische Gott der Träume.","SetA","True","Yes","No",4,768,3,3223,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",66,"Der Durchmesser des Wurfkreises beim Diskuswerfens beträgt 2,5 m.","SetA","True","Yes","No",2,1757,5,1302,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",67,"Eine Stubenfliege hat eine maximale Lebensdauer von 70 Tagen.","SetB","True","No","Yes",3,1398,5,702,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",68,"Ein menschliches Haar wächst jährlich ca. 85 mm.","SetB","True","No","Yes",4,700,4,976,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",69,"Ultraschall sind Wellen und Schwingungen unterhalb von 16 Hertz.","SetA","False","Yes","No",4,786,5,761,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",70,"Virginia war die erste englische Kolonie in Nordamerika.","SetA","True","Yes","No",4,1407,5,739,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",71,"Das Lieblingsgetränk von Benedikt XVI. ist Fanta.","SetB","True","No","Yes",4,1616,3,3921,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",72,"Der Name BenQ steht für Bringing Enjoyment and Quality to Life.","SetA","True","Yes","No",4,1445,2,2525,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",73,"Sumatra ist die viertgrößte Insel der Welt. ","SetB","False","No","Yes",4,1135,3,1519,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",74,"Die Gebrüder Montgolfier entwarfen den ersten Fallschirm.","SetB","False","No","Yes",4,1030,1,4854,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",75,"Jürgen Klinsmann erhielt bei Bayern München den Spitznamen ""Flipper"".","SetB","True","No","Yes",2,1710,4,1838,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",76,"Es gibt drei amerikanische Städte, die ""Santa Claus"" heißen.","SetB","True","No","Yes",4,709,4,677,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",77,"Die Bach-Blütentherapie ist deutlich wirksamer als ein Placebo.","SetA","False","Yes","No",5,1543,5,2653,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",78,"Der spanische Ex-Diktator Francisco Franco hatte den Beinamen ""Conducator"".","SetA","False","Yes","No",3,1986,4,1015,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",79,"Bob Dylan arbeitet nebenberuflich als Winzer.","SetA","True","Yes","No",2,717,4,889,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",80,"Die Insel Ösel gehört zu Dänemark.","SetA","False","Yes","No",3,1367,4,1552,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",81,"Balsaholz ist die schwerste aller Holzarten.","SetB","False","No","Yes",3,759,4,1272,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",82,"Sheryl Crow war Hürdenläuferin.","SetA","True","Yes","No",3,827,4,1682,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",83,"Albert Einstein heiratete seine Cousine.","SetB","True","No","Yes",4,2407,5,731,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",84,"Der Javagraben ist die tiefste Meerestiefe der Welt.","SetB","False","No","Yes",4,759,5,752,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",85,"Der Mond passt vierzigmal in die Erdkugel.","SetA","False","Yes","No",5,1573,3,2298,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",86,"Weibliche Frettchen können an Östrogenvergiftung sterben, wenn sie läufig sind und nicht gedeckt werden.","SetA","True","Yes","No",4,1088,3,1114,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",87,"Das Domino-Spiel besteht aus 28 Steinen.","SetA","True","Yes","No",2,764,4,755,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",88,"Minerva ist die römische Göttin der Weisheit.","SetA","True","Yes","No",3,681,4,2015,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",89,"Das indische Tadsch Mahal wurde aus Basalt-Stein erbaut.","SetA","False","Yes","No",5,722,4,3269,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",90,"Ein Schwan trägt ca. 50.000 Federn am Körper.","SetB","False","No","Yes",5,2894,4,684,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",91,"Manama ist die Hauptstadt Bahrains.","SetA","True","Yes","No",4,935,3,1586,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",92,"Erdbeeren enthalten mehr Vitamin C als Orangen.","SetB","True","No","Yes",5,814,3,725,NA
"TE_Experiment1",1,1,1,1,"JudgmentsP1",93,"Seepferdchen gehören zur Gattung der Fische.","SetA","True","Yes","No",6,610,5,796,NA
"TE_Experiment1",1,1,1,NA,"Buffer",94,"Menschen und Affen sind die einzigen Lebewesen, die weinen. ","Buffer",NA,NA,NA,5,1173,4,2904,NA
"TE_Experiment1",1,1,1,NA,"Buffer",95,"Die weibliche Kammratte hat ihre Brustwarzen am Rücken.","Buffer",NA,NA,NA,4,1406,2,1250,NA
"TE_Experiment1",1,1,1,NA,"Buffer",96,"Babys werden ohne Gaumenbein geboren.","Buffer",NA,NA,NA,4,878,3,1272,NA
"TE_Experiment1",1,1,1,NA,"Buffer",97,"Indigoblau ist der älteste bekannte pflanzliche Farbstoff.","Buffer",NA,NA,NA,5,1293,4,929,NA
"TE_Experiment1",1,1,1,NA,"Buffer",98,"Siemens meldete 2004 in Deutschland die meisten Patente an.","Buffer",NA,NA,NA,3,1302,4,650,NA
"TE_Experiment1",1,1,1,2,"JudgmentsP2",702,"Der Durchmesser des Wurfkreises beim Diskuswerfens beträgt 2,5 m.","SetA","True","Yes",NA,NA,NA,4,636,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",703,"Pamela Anderson ist kanadische Staatsbürgerin.","SetC","True","No",NA,NA,NA,4,911,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",704,"Der richtige Name des Krümelmonsters aus der Sesamstraße lautet ""Sam"".","SetC","False","No",NA,NA,NA,4,1191,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",705,"Das geflügelte Wort ""Gelobt sei, was hart macht"" geht auf  den Philosophen Friedrich Nietzsche zurück.","SetC","True","No",NA,NA,NA,3,2119,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",706,"Die Bach-Blütentherapie ist deutlich wirksamer als ein Placebo.","SetA","False","Yes",NA,NA,NA,5,793,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",707,"Jean-Jaques Rousseau war alleinerziehender Vater.","SetC","False","No",NA,NA,NA,4,650,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",708,"Hamburg hat mehr Brücken als die Städte Venedig, Amsterdam und London zusammen.","SetC","True","No",NA,NA,NA,4,3480,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",709,"Nur ca. zwei Prozent der Weltbevölkerung sind von Natur aus blond.","SetA","True","Yes",NA,NA,NA,5,688,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",710,"Blaue Augen werden im Alter immer heller.","SetC","True","No",NA,NA,NA,3,1171,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",711,"Der Mond passt vierzigmal in die Erdkugel.","SetA","False","Yes",NA,NA,NA,3,736,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",712,"Weibliche Frettchen können an Östrogenvergiftung sterben, wenn sie läufig sind und nicht gedeckt werden.","SetA","True","Yes",NA,NA,NA,2,878,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",713,"Ein Dingo kann länger ohne Wasser leben als ein Kamel.","SetA","False","Yes",NA,NA,NA,3,849,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",714,"Italien wurde 1934 zum ersten Mal Fußballweltmeister.","SetC","True","No",NA,NA,NA,4,1726,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",715,"Virginia war die erste englische Kolonie in Nordamerika.","SetA","True","Yes",NA,NA,NA,5,665,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",716,"Der Kilt stammt ursprünglich aus Irland, nicht aus Schottland.","SetA","False","Yes",NA,NA,NA,4,1241,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",717,"Spanholz besteht hauptsächlich aus Birkenholz.","SetC","True","No",NA,NA,NA,3,1396,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",718,"Ein Mensch, der unter Androphobie leidet, hat Angst vor anderen Menschen.","SetC","False","No",NA,NA,NA,4,1974,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",719,"Der weiße Hai hat keine natürlichen Feinde.","SetC","True","No",NA,NA,NA,5,1155,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",720,"Der rote Naturfarbstoff in den Schalen von Krustentieren heißt Xanthophyll.","SetC","False","No",NA,NA,NA,4,1267,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",721,"Der Film ""Ein unmoralisches Angebot"" bekam die goldene Himbeere verliehen.","SetC","True","No",NA,NA,NA,4,2283,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",722,"Die Insel Ösel gehört zu Dänemark.","SetA","False","Yes",NA,NA,NA,4,652,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",723,"Die Stilrichtung des Impressionismus entwickelte sich in Spanien. ","SetA","False","Yes",NA,NA,NA,3,794,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",724,"Manama ist die Hauptstadt Bahrains.","SetA","True","Yes",NA,NA,NA,3,658,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",725,"Der spanische Ex-Diktator Francisco Franco hatte den Beinamen ""Conducator"".","SetA","False","Yes",NA,NA,NA,4,1080,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",726,"Die Schwarzerle zählt zu den Buchengewächsen.","SetA","False","Yes",NA,NA,NA,3,947,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",727,"Ibo ist wie Esperanto eine künstliche Welthilfssprache.","SetA","False","Yes",NA,NA,NA,4,995,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",728,"Sheryl Crow war Hürdenläuferin.","SetA","True","Yes",NA,NA,NA,4,899,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",729,"Die Aktivität einer radioaktiven Substanz wird in Sievert gemessen.","SetC","False","No",NA,NA,NA,4,800,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",730,"Die Azoren gehören zu Spanien.","SetA","False","Yes",NA,NA,NA,4,2027,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",731,"Im arabischen Raum heißt Homer Simpson ""Omar Shamshoon"".","SetC","True","No",NA,NA,NA,4,1506,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",732,"Der preußische König August I. der Starke wurde auch der Soldatenkönig genannt.","SetC","False","No",NA,NA,NA,5,642,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",733,"Der erste Sinn, der im Alter nachlässt, ist das Gehör.","SetC","False","No",NA,NA,NA,5,701,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",734,"Ein Polospiel ist in Zeitabschnitte von 7,5 Minuten unterteilt, die man ""Chukkas"" nennt.","SetC","True","No",NA,NA,NA,3,2643,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",735,"1 Meter entspricht dem fünfzigmillionsten Teil des Erdumfangs.","SetA","False","Yes",NA,NA,NA,4,533,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",736,"Im Arabischen gibt es etwa 500 Worte für ""Kamel"".","SetC","False","No",NA,NA,NA,4,1083,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",737,"In Griechenland gilt nicht Freitag der 13., sondern Mittwoch der 13. als Unglückstag.","SetC","False","No",NA,NA,NA,3,3814,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",738,"Jassir Arafat kämpfte im Sueskrieg für die ägyptische Armee.","SetC","True","No",NA,NA,NA,3,1024,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",739,"Die Band ""Oasis"" hat sich nach einem Fitness-Studio benannt.","SetC","True","No",NA,NA,NA,4,1649,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",740,"Wenn sämtliches Eis der Erde schmilzt, steigt der Meeresspiegel um 150 Meter.","SetC","False","No",NA,NA,NA,4,691,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",741,"Laut WHO sind Krebserkrankungen die häufigste Todesursache.  ","SetA","False","Yes",NA,NA,NA,5,953,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",742,"Der See Genezareth ist das tiefst gelegenste stehende Gewässer der Erde.","SetC","False","No",NA,NA,NA,3,4289,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",743,"Das indische Tadsch Mahal wurde aus Basalt-Stein erbaut.","SetA","False","Yes",NA,NA,NA,4,553,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",744,"Das Jojo war ursprünglich eine philippinische Jagdwaffe.","SetA","True","Yes",NA,NA,NA,4,538,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",745,"Ein neugeborenes Panda-Baby ist kleiner als eine Maus.","SetA","True","Yes",NA,NA,NA,5,903,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",746,"Kleinohrigel haben keine Stacheln.","SetC","False","No",NA,NA,NA,3,1903,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",747,"Unter den Bären legt der Braunbär die größten Entfernungen zurück.","SetA","False","Yes",NA,NA,NA,2,646,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",748,"Karl Marx wurde in London begraben.","SetC","True","No",NA,NA,NA,4,1378,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",749,"Der Name BenQ steht für Bringing Enjoyment and Quality to Life.","SetA","True","Yes",NA,NA,NA,3,679,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",750,"Beim Rugby gibt es 30 Spieler.","SetC","True","No",NA,NA,NA,5,1298,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",751,"Der Pavane ist ein spanisch-italienischer Volkstanz aus dem 16. Jahrhundert.","SetA","True","Yes",NA,NA,NA,3,671,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",752,"Ebenso wie der Fingerabdruck ist auch der Zungenabdruck eines Menschen einzigartig.","SetC","True","No",NA,NA,NA,5,1016,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",753,"Frauen blinzeln fast doppelt so viel wie Männer.","SetA","True","Yes",NA,NA,NA,6,692,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",754,"Kanada hat die längste Küste von allen Staaten der Erde.","SetA","True","Yes",NA,NA,NA,4,490,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",755,"Das meiste Gold wird derzeit in Südafrika gefördert.","SetA","True","Yes",NA,NA,NA,3,624,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",756,"Minerva ist die römische Göttin der Weisheit.","SetA","True","Yes",NA,NA,NA,4,537,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",757,"Kamele sind über kurze Distanzen schneller als ein Rennpferd.","SetC","False","No",NA,NA,NA,1,2391,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",758,"Der Bereich zwischen den Augenbrauen heißt Glabella.","SetA","True","Yes",NA,NA,NA,3,5862,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",759,"Seepferdchen gehören zur Gattung der Fische.","SetA","True","Yes",NA,NA,NA,5,607,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",760,"Der einstige UNO-Generalsekretär Kofi Annan kommt aus Nigeria.","SetC","False","No",NA,NA,NA,5,690,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",761,"Die Slavonia war das erste Schiff, das das SOS-Notsignal benutzte.","SetC","True","No",NA,NA,NA,4,584,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",762,"Die Norfolkinseln im Pazifik gehören zu Neuseeland. ","SetA","False","Yes",NA,NA,NA,4,505,"selected"
"TE_Experiment1",1,1,1,2,"JudgmentsP2",763,"Eine der ersten deutschen Internetsuchmaschinen hieß ""Alcazar"".","SetA","False","Yes",NA,NA,NA,4,841,"selected"
